ITEM: TIMESTEP
0
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
96 9.01208 8.88464 0
97 3.24012 0.634936 0
98 5.82803 3.13759 0
99 2.48166 8.80711 0
100 4.45068 3.39044 0
ITEM: TIMESTEP
6
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 3.51218 6.75419 0
2 1.53276 1.40608 0
3 5.47233 2.90883 0
4 0.311712 3.91232 0
5 4.62961 5.17755 0
6 5.91912 9.54652 0
7 6.24441 0.065901 0
8 1.79762 1.98758 0
9 4.72039 6.0281 0
10 9.32928 5.71899 0
11 5.60834 1.51555 0
12 4.86568 7.22639 0
13 5.93072 6.13907 0
14 6.16963 2.7964 0
15 4.52371 0.285735 0
16 5.67243 8.22021 0
17 1.5059 6.34384 0
18 4.77957 2.20942 0
19 2.49366 1.64248 0
20 4.10799 2.63581 0
21 4.0773 0.96087 0
22 8.32456 7.98548 0
23 0.705407 6.26134 0
24 4.52156 5.2243 0
25 0.367812 0.81058 0
26 8.99204 2.25434 0
27 1.654 6.23969 0
28 4.37236 8.8527 0
29 2.67793 0.575681 0
30 5.39747 5.92567 0
31 4.82483 4.09266 0
32 9.14726 1.31913 0
33 1.44224 9.63937 0
34 8.71908 5.23076 0
35 4.39501 1.81419 0
36 3.81817 9.96311 0
37 8.6209 0.426449 0
38 5.37 3.67792 0
39 7.12626 7.49869 0
40 3.84393 0.403785 0
41 4.6965 4.99258 0
42 8.95261 3.20168 0
43 8.16393 7.01471 0
44 6.30092 4.80942 0
45 4.06434 4.50443 0
46 8.48477 3.82221 0
47 4.3974 7.9476 0
48 3.5613 8.39719 0
49 6.25886 9.38782 0
50 7.14596 7.01999 0
51 1.36193 9.0566 0
52 4.49677 1.33208 0
53 9.05128 0.537015 0
54 5.26592 8.59699 0
55 2.25205 4.10568 0
56 8.80005 9.09327 0
57 0.0322483 6.3731 0
58 4.74788 5.6568 0
59 2.12433 4.79596 0
60 1.76094 9.96069 0
61 1.28143 6.07405 0
62 4.13844 7.07588 0
63 2.79895 4.91002 0
64 8.15041 6.13751 0
65 5.70822 7.73316 0
66 6.68553 6.23408 0
67 4.84834 8.58185 0
68 7.06918 6.54232 0
69 5.0903 2.64745 0
70 0.501955 4.61158 0
71 2.26847 3.24578 0
72 1.81163 5.50701 0
73 0.593197 7.53164 0
74 6.00281 3.89732 0
75 1.74461 2.19464 0
76 8.58383 8.28292 0
77 4.61376 2.78755 0
78 4.58638 7.09996 0
79 6.94925 9.99023 0
80 2.2305 7.34604 0
81 1.12386 4.5248 0
82 1.70612 5.74398 0
83 2.62197 7.40973 0
84 4.01489 4.85739 0
85 3.86317 4.02017 0
86 8.73352 9.60697 0
87 3.67663 7.67775 0
88 6.71068 6.72909 0
89 3.22656 9.11761 0
90 2.21997 6.56541 0
91 9.11937 2.04945 0
92 9.05921 3.759 0
93 1.70392 3.90762 0
94 4.3845 5.70179 0
95 1.27175 8.9537 0
96 4.17029 7.29554 0
97 6.4272 1.66713 0
98 4.2003 7.19283 0
99 5.20789 6.45607 0
100 5.90358 4.34795 0
ITEM: TIMESTEP
7
ITEM: NUMBER OF ATOMS
100
ITEM: BOX BOUNDS pp pp pp
0 10
0 10
0 0
ITEM: ATOMS id x y z
1 2.52406 5.42375 0
2 9.96837 2.57764 0
3 4.89642 6.22747 0
4 2.00774 9.61164 0
5 6.03129 2.88903 0
6 6.84724 1.34784 0
7 3.5527 9.63449 0
8 8.70087 7.51097 0
9 3.50515 4.65754 0
10 4.28408 5.18252 0
11 3.94404 2.3203 0
12 0.753351 1.84305 0
13 7.28032 8.68745 0
14 2.87441 1.89118 0
15 3.7506 3.5038 0
16 0.684794 6.22874 0
17 6.31827 6.0927 0
18 3.60483 8.40771 0
